,i,channels,height,width,aspect,labelSize
0,0.0,3.0,480.0,640.0,1.3333333333333333,0.02320648193359375
1,1.0,3.0,480.0,640.0,1.3333333333333333,0.002499297857284546
2,2.0,3.0,480.0,640.0,1.3333333333333333,0.004270565509796142
3,3.0,3.0,480.0,640.0,1.3333333333333333,0.01408729076385498
4,4.0,3.0,480.0,640.0,1.3333333333333333,0.0035360240936279297
5,5.0,3.0,480.0,640.0,1.3333333333333333,0.3475177764892578
6,6.0,3.0,480.0,640.0,1.3333333333333333,0.006354064146677653
7,7.0,3.0,480.0,640.0,1.3333333333333333,0.009288245042165121
8,8.0,3.0,480.0,640.0,1.3333333333333333,0.004288105169932047
9,9.0,3.0,480.0,640.0,1.3333333333333333,0.008114582697550455
10,10.0,3.0,480.0,640.0,1.3333333333333333,0.017012715339660645
11,11.0,3.0,480.0,640.0,1.3333333333333333,0.10636619567871093
12,12.0,3.0,480.0,640.0,1.3333333333333333,0.01102971871693929
13,13.0,3.0,480.0,640.0,1.3333333333333333,0.0025058082739512124
14,14.0,3.0,480.0,640.0,1.3333333333333333,0.028236735661824545
15,15.0,3.0,480.0,640.0,1.3333333333333333,0.010500458876291911
16,16.0,3.0,480.0,640.0,1.3333333333333333,0.08146042505900065
17,17.0,3.0,480.0,640.0,1.3333333333333333,0.008335095246632894
18,18.0,3.0,480.0,640.0,1.3333333333333333,0.0020211015144983926
19,19.0,3.0,480.0,640.0,1.3333333333333333,0.010723000367482503
20,20.0,3.0,480.0,640.0,1.3333333333333333,0.002139974037806193
21,21.0,3.0,480.0,640.0,1.3333333333333333,0.017159608205159504
22,22.0,3.0,480.0,640.0,1.3333333333333333,0.0015529642502466838
23,23.0,3.0,480.0,640.0,1.3333333333333333,0.08479387919108072
24,24.0,3.0,480.0,640.0,1.3333333333333333,0.002208142081896464
25,25.0,3.0,480.0,640.0,1.3333333333333333,0.017016685803731283
26,26.0,3.0,480.0,640.0,1.3333333333333333,0.013850030899047851
27,27.0,3.0,480.0,640.0,1.3333333333333333,0.0023977994918823243
28,28.0,3.0,480.0,640.0,1.3333333333333333,0.04013846715291341
29,29.0,3.0,480.0,640.0,1.3333333333333333,0.007968610127766926
30,30.0,3.0,480.0,640.0,1.3333333333333333,0.004658867120742798
31,31.0,3.0,480.0,640.0,1.3333333333333333,0.08085425694783528
32,32.0,3.0,480.0,640.0,1.3333333333333333,0.010005311171213786
33,33.0,3.0,480.0,640.0,1.3333333333333333,0.007842039267222087
34,34.0,3.0,480.0,640.0,1.3333333333333333,0.0021066176891326904
